RSX_0,RSX_1,RSX_2,RSX_3,RSX_4,RSY_0,RSY_1,RSY_2,RSY_3,RSY_4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.4413725317103995,0.7766078163436859,0.7868294567222451,0.7890704634128904,0.8491845318266529,0.5396519683132692,0.6636591595162417,0.739468002677538,0.7889721524651803,0.8303843931974143
0.3892933142943318,0.7260391798816728,0.7784024124343866,0.7374820161369493,0.7889818714655963,0.5587903067623561,0.7868516148554412,0.8167167547347706,0.7672822816072895,0.7758216109672218
0.3695450807280257,0.688469773487993,0.7784150810065894,0.6851461328056697,0.7357546722801805,0.5440817968576119,0.7669922830138908,0.7670427924879685,0.7616613625258097,0.7495284236435363
0.3483816343070478,0.6812374765583761,0.7686551892146144,0.6962312840401146,0.7390240242907322,0.5132385380187566,0.650882095128096,0.6992972687738259,0.7536546662664864,0.7580492238573835
0.358125065261795,0.6663011494407306,0.7955063584826952,0.6866199444755481,0.7157105182368789,0.5401699372731708,0.6505741505179055,0.7157054054328051,0.7504569871943342,0.7356510726350222
0.3611780147683824,0.6596142077918103,0.7716842736119707,0.6926917974902324,0.7207248236653184,0.5120987428457513,0.6628483425806502,0.7273162492584244,0.7513264799518172,0.7460812000525607
0.3532663568051714,0.6136618381525785,0.7837582901269964,0.6780500373744559,0.7317513957018544,0.523541801356108,0.6571484012616845,0.7451456020543072,0.7553220949918673,0.7440048195374103
0.3477992297225226,0.6286386659624452,0.7608723169343989,0.675568238552977,0.7383827287881128,0.5165692208664284,0.6672205697191118,0.7174582909460283,0.7588480569229288,0.7535008329899194
0.3397334622629914,0.6587366840447451,0.7739049741413884,0.6651138077188129,0.7211792153351638,0.5162499974267276,0.6635273534808085,0.725275567177826,0.7524422625794611,0.7449102773598459
0.3543152032085901,0.6707510492606481,0.7819913582140139,0.6653784192015824,0.7266700604659444,0.5187878785701333,0.6629501781891813,0.7331472581919065,0.7527755431079484,0.7466462459488972
0.3446126758652562,0.6259142721684338,0.7509763912330165,0.6506488415015418,0.7280619743242551,0.5247198106728379,0.6480067768254264,0.7386767725057612,0.7351957696847061,0.7250727072093831
