Média,Média Absoluta,Variância,Desvio Padrão,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Taxa de cruzamento por zero,Fator de Forma,Energia,Energia Média,Variância da Energia,Desvio Padrão da Energia,Assimetria da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Frequência de Pico,Centroide Espectral,Largura de Banda Espectral,Planicidade Espectral,Corte Espectral
6.667843360785856e-19,0.0763874108845517,0.0184310726955347,0.0959452126464337,1.4620831720795158,0.0959452126464337,0.4065825729927702,0.8014653717235141,2.114974936825716,1134.4,0.6280013337851283,0.0159790003518657,8.326732856626238e-06,1.0023987147043776e-09,2.208525393151239e-05,3.3903525218502053,38.31982770314141,0.4967380501753362,2.361808091128776e-05,35.390625,117.19499285361978,109.2181375693802,0.5,239.53125
6.667859623818442e-19,0.0763896717847599,0.0184316058325376,0.0959480405529109,1.462128869309133,0.0959480405529109,0.406592570893242,0.8014859259042695,2.115027968461765,1134.434035,0.6280200956026577,0.0159794477954549,8.326966021602397e-06,1.0024190652448887e-09,2.208580643319353e-05,3.3904253023242683,38.32031701906863,0.4967529380277728,2.3618680597884057e-05,35.39098828125,117.19863199480368,109.22142040280218,0.500015,239.5383984375
6.667582745688645e-19,0.0763964771847487,0.0184332294091293,0.0959565513245679,1.4622651439758767,0.0959565513245679,0.4066224755825801,0.801547280914482,2.115184790849593,1134.533579125,0.6280759034213892,0.015980812637495,8.32767724726164e-06,1.0024829042230243e-09,2.2087493190894496e-05,3.3906522765364118,38.32198696999635,0.4967972653909003,2.3620511169944203e-05,35.39174091796875,117.2100707150515,109.23135006404549,0.500059625,239.5611650390625
6.667442891333333e-19,0.0764100891874827,0.018436505784236,0.0959735766038342,1.4625351873040804,0.0959735766038342,0.4066832117080018,0.8016704026738529,2.115500417030387,1134.730919541625,0.6281866039708863,0.015983563233947,8.329110596116228e-06,1.002615514282974e-09,2.209091472767201e-05,3.39111220437409,38.32545560074738,0.4968850439545904,2.3624220849105526e-05,35.39690437177734,117.2330039650008,109.2510916580572,0.500148132125,239.6070918720703
6.667190698321987e-19,0.0764329144607303,0.0184420853214394,0.0960021238823901,1.4629809148015334,0.0960021238823901,0.4067860700011968,0.8018779010224115,2.116027033019874,1135.0583964109658,0.6283695625695954,0.0159882435062621,8.331549508213716e-06,1.0028667901977415e-09,2.2096907395119448e-05,3.3919198930360523,38.33237260940485,0.4970301188474695,2.363069260718233e-05,35.40666122810302,117.27029106947823,109.28363265574582,0.500294417628125,239.68165510949703
6.667064810071671e-19,0.0764669512921605,0.0184504336601454,0.0960447053494828,1.4636427270464114,0.0960447053494828,0.4069411441126417,0.8021893582330176,2.116819020469106,1135.5439717206416,0.6286418034405236,0.0159952566706364,8.335204101426e-06,1.003251875207295e-09,2.2105927886799465e-05,3.3931362257862694,38.34309555286166,0.4972460049575764,2.364042901903292e-05,35.42117712736479,117.32589979372528,109.33209017029806,0.5005120237738531,239.79275695220733
6.66723693439263e-19,0.0765123610635311,0.0184616956239673,0.0961015090913353,1.4645143729612051,0.0961015090913353,0.4071504940207634,0.8026076885159354,2.1178755856779925,1136.1855038881138,0.6290009812512204,0.0160047095099211,8.340130020803118e-06,1.0039041942365652e-09,2.211894205673519e-05,3.395105519510761,38.372475303942615,0.4975308883508245,2.3654372398476664e-05,35.44055428621081,117.39824540643222,109.39576721173142,0.5007991456032937,239.93646103183343
6.667051151429395e-19,0.076569064260044,0.0184759101675628,0.0961724543095701,1.4655916349650409,0.0961724543095701,0.4074125327034933,0.8031304080345453,2.119183692668015,1136.978976155641,0.6294449993333542,0.016016659404831,8.346357167707688e-06,1.004828051460179e-09,2.213596416247128e-05,3.397792295898788,38.419769413652496,0.4978829729332473,2.3672545963994103e-05,35.46905180826657,117.48710316434654,109.47428600261246,0.5011540125834324,240.111994220926
6.666178925119243e-19,0.0766369490768007,0.0184930876281026,0.0962573907503043,1.466870323016419,0.0962573907503043,0.4077267501385848,0.8037546177352441,2.120737046661607,1137.9202237908971,0.6299716186987072,0.0160310949479093,8.353879597659892e-06,1.0060168504491134e-09,2.2156894842747003e-05,3.401126923238275,38.48296420035875,0.4983003729898436,2.369485346337216e-05,35.51078643412801,117.59239875158158,109.56738363796656,0.501574888017227,240.31878532988657
6.664365038617452e-19,0.0767157056240733,0.0185131237703273,0.0963558857120778,1.4683488242818483,0.0963558857120778,0.4080879603341933,0.8044708978172974,2.122511100916074,1139.0013233888485,0.6305784167036086,0.0160478759606704,8.362624262986147e-06,1.007450168806112e-09,2.2181481364845004e-05,3.405105552988031,38.56200322515065,0.4987814307608931,2.3721032403523355e-05,35.56558702407167,117.71491646756338,109.67494254479315,0.5020600684632893,240.55844064323992
