Desvio Padrão,Média Absoluta,RMS
0.0610045093416575,0.0489906069116853,0.0610045093416575
0.0610060406821357,0.0489918440299761,0.0610060406821357
0.0610111451612826,0.0489959173958187,0.0610111451612826
0.061021640372773,0.0490042707699725,0.061021640372773
0.0610393687564177,0.0490183814171223,0.0610393687564177
0.061066293168241,0.0490398194741774,0.061066293168241
0.0611028812371387,0.0490689365328737,0.0611028812371387
0.0611490078508567,0.0491056308905658,0.0611490078508567
0.0612045331884965,0.0491498053330758,0.0612045331884965
0.0612695641656535,0.0492015644539071,0.0612695641656535
0.0613447366057134,0.0492614101471539,0.0613447366057134
0.0614306001221655,0.0493297748352984,0.0614306001221655
0.0615270786903642,0.0494066401182719,0.0615270786903642
0.0616343049836437,0.0494921187972283,0.0616343049836437
0.0617524090756893,0.0495863284603544,0.0617524090756893
0.0618814017811476,0.049689291518731,0.0618814017811476
0.0620211684017517,0.0498009271501859,0.0620211684017517
0.0621718322045812,0.0499213126108439,0.0621718322045812
0.0623334170007102,0.0500504335578022,0.0623334170007102
0.0625059468483723,0.0501883018680983,0.0625059468483723
0.0626894150075717,0.0503348652650963,0.0626894150075717
0.0628837440874678,0.0504900429069403,0.0628837440874678
0.0630890441434795,0.0506538829074947,0.0630890441434795
0.063305308389153,0.050826368961267,0.063305308389153
0.063532540499001,0.0510074661385319,0.063532540499001
0.0637707869545361,0.0511971936158213,0.0637707869545361
0.0640252823992996,0.0513998303583784,0.0640252823992996
0.0643051447679779,0.0516227555457655,0.0643051447679779
0.0646203206723031,0.0518740325289696,0.0646203206723031
0.0649829981117166,0.0521637231115953,0.0649829981117166
0.0654056500086729,0.0525019793890514,0.0654056500086729
0.0659063393448612,0.0529033350779265,0.0659063393448612
0.0665007068488134,0.0533801520950226,0.0665007068488134
0.0672226679019037,0.0539608693047009,0.0672226679019037
0.0680894786657275,0.0546599547595107,0.0680894786657275
0.0691196990623991,0.0554928840454458,0.0691196990623991
0.0703310031442348,0.0564747524145593,0.0703310031442348
0.0717650716389123,0.057641677503511,0.0717650716389123
0.073402979211816,0.0589782609660191,0.073402979211816
0.075223642258391,0.0604671507749416,0.075223642258391
0.077205869097879,0.0620910861769486,0.077205869097879
0.0793231645996451,0.0638286397016854,0.0793231645996451
