Média,Média Absoluta,Variância,Desvio Padrão,Assimetria,Kurtose,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Taxa de cruzamento por zero,Fator de Forma,Energia,Energia Média,Variância da Energia,Desvio Padrão da Energia,Assimetria da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Centroide Espectral,Largura de Banda Espectral,Planicidade Espectral,Corte Espectral
1.517883041479706e-19,0.0440294903520044,0.0058904719613942,0.0542446153212491,-0.0052747352770019,-0.1512805204737565,1.5829666237723126,0.0542446153212491,0.1756378360419722,0.3443267290087168,1.6210382926051878,350.9,0.6159817707928904,0.0044815845019178,2.335374935861291e-06,2.794130587068926e-10,1.1767123717904822e-05,7.723298754620931,166.85600731734624,0.4937886619335352,1.1997168767947653e-05,124.05468967485623,81.45312874070086,0.5,194.140625
1.5178911729959997e-19,0.0440308044865979,0.005890646849342,0.0542462349876398,-0.0052749724345547,-0.1512840266017655,1.583013430487652,0.0542462349876398,0.175643105133905,0.3443375369067066,1.6210870905424957,350.90998999999994,0.6160002582415731,0.0044817079720432,2.335439276729175e-06,2.7942284914153917e-10,1.1767506936536544e-05,7.723633001090659,166.86610021401,0.4938024289387709,1.1997557350328852e-05,124.0583288245588,81.45558763986008,0.500015,194.14621484375
1.518077994582846e-19,0.0440346587122303,0.0058911514585318,0.054250979170922,-0.0052767759679905,-0.1512976805815639,1.5831541329343537,0.054250979170922,0.1756580606120927,0.3443681040377843,1.6212276219483173,350.9401152499999,0.6160551852772864,0.0044820646715771,2.3356251545477856e-06,2.7945106881895877e-10,1.1768628832420991e-05,7.724604765935193,166.89450691022162,0.4938445290955869,1.1998694545736427e-05,124.06961691120824,81.46283607209376,0.500059625,194.16321962890623
1.5181463031821828e-19,0.0440423292998734,0.0058921573417483,0.0542604118704631,-0.0052814183260445,-0.1513270237316072,1.5834346662047405,0.0542604118704631,0.1756871701088912,0.3444277459373152,1.621500608975161,351.0000258702499,0.6161640231173691,0.0044827798878808,2.3359978571552407e-06,2.7952178071911004e-10,1.1771077410363374e-05,7.726722546626957,166.9616506444323,0.4939287330493965,1.2001171947242976e-05,124.09219208253268,81.47706792205037,0.500148132125,194.196497674707
1.5183836366657373e-19,0.0440549819944988,0.0058938108775968,0.0542759594389753,-0.0052895812602034,-0.1513780162974543,1.583899546748107,0.0542759594389753,0.1757348777019462,0.3445251192782588,1.621949344570387,351.0992777077061,0.6163437747669588,0.0044839566885004,2.336611093538561e-06,2.796410623251662e-10,1.1775146688545337e-05,7.730172747387398,167.07034089616005,0.4940686606712363,1.2005288402439354e-05,124.12992802732296,81.50051714078005,0.500294417628125,194.2516161614184
1.5191110198168594e-19,0.0440737560237737,0.0058962579121441,0.0542990273410828,-0.0053027090981733,-0.1514550566458233,1.5845919293605288,0.0542990273410828,0.1758052353130612,0.3446689237123443,1.6226128744724508,351.2471832453454,0.6166111471391975,0.004485699694597,2.3375193822809022e-06,2.7981596563947207e-10,1.1781148135372929e-05,7.735131897838542,167.22302083585177,0.4942777529666885,1.2011360087724934e-05,124.1865292439901,81.53531106369236,0.5005120237738531,194.33400064881084
1.5208040567714562e-19,0.0440983734825785,0.0058994422103985,0.0543292581380115,-0.0053219521661537,-0.1515598924857149,1.5855056059878463,0.0543292581380115,0.1758973251898518,0.3448571858873948,1.623487677896274,351.4421362528876,0.6169637426952086,0.004487961662378,2.338698104417938e-06,2.800434337113698e-10,1.1788999493442253e-05,7.741652531195864,167.4219567057745,0.494554633538556,1.2019301585838411e-05,124.26194121190392,81.58120244196009,0.5007991456032937,194.44364090659425
1.5234141025280873e-19,0.0441286446680653,0.0059033363239445,0.0543664288349995,-0.0053466018944686,-0.1516913268006177,1.5866343082417598,0.0543664288349995,0.1760108061251848,0.345088997977344,1.624571531873977,351.6845283577544,0.6173995049949591,0.0044907239382593,2.34013753947856e-06,2.803236294691378e-10,1.1798684651474689e-05,7.749747308476378,167.66870829646112,0.4948975165950441,1.2029095223341391e-05,124.35584084679468,81.6379187176385,0.5011540125834324,194.5798900578357
1.5270155561066822e-19,0.0441643909840398,0.005907913503567,0.0544103202186646,-0.0053779080609965,-0.1518495919084742,1.5879738370980785,0.0544103202186646,0.1761439947804548,0.3453619794532923,1.625849497002195,351.9734593395616,0.6179163005797076,0.0044939618733316,2.3418248427992263e-06,2.8065914736474823e-10,1.181023935540047e-05,7.759466877137844,167.966272606169,0.4953047199367051,1.204077398912668e-05,124.46794614700396,81.70518842193115,0.501574888017227,194.74206643416025
1.5306887740125278e-19,0.0442054004951344,0.00591313731941,0.0544606713895535,-0.0054169353361424,-0.1520325010351589,1.5895164225414484,0.0544606713895535,0.176297505256692,0.3456762928091499,1.6273298052769176,352.30760936757,0.6185120332891686,0.0044976540070646,2.3437488311957437e-06,2.8105863767876287e-10,1.1823774498034493e-05,7.770989798287391,168.32522077464043,0.4957745159829351,1.205444594989674e-05,124.59781299073964,81.78268776263334,0.5020600684632893,194.92950141756796
