Média Absoluta,Variância,Desvio Padrão,Assimetria,Kurtose,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Fator de Forma,Energia,Energia Média,Desvio Padrão da Energia,Assimetria da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Frequência de Pico,Centroide Espectral,Largura de Banda Espectral,Planicidade Espectral,Corte Espectral,Razão Pico para RMS
0.0866018139033636,0.0238708299866295,0.1089513212626498,0.0150071234958057,0.0412593326197397,1.4903380600454934,0.1089513212626498,0.4323996434421893,0.8513597261004058,1.984373921691388,0.6291039724656963,0.020716302445906,1.0795363442368998e-05,2.99360730703308e-05,3.242439582090056,31.62287073800528,0.4924769566264509,3.182789484649287e-05,16.5625,102.97308712496658,110.13856190022,0.5,183.046875,239.75836800035532
0.0866034338111449,0.023871103220463,0.1089533457397436,0.0150091510012664,0.04125818013183,1.4903828495381275,0.1089533457397436,0.4324078421008783,0.8513754129732841,1.984434668182772,0.6291227186911038,0.020716533545173,1.0795483869292896e-05,2.9936402153138457e-05,3.242557551909155,31.624242339670424,0.4924915443112209,3.18282452721459e-05,16.563015625000002,102.97722740972382,110.14217667745606,0.500015,183.05478515625,239.77085865488797
0.0866090009121616,0.0238722326564922,0.1089603184707005,0.0150137500543764,0.0412554436106679,1.4905172267624769,0.1089603184707005,0.4324351218060873,0.8514276682072791,1.9846105566192076,0.6291785853564489,0.0207174988270348,1.0795986882248526e-05,2.9937727642480176e-05,3.2428846260122928,31.62786786255649,0.4925352275984092,3.1829663092713194e-05,16.564549609375003,102.9888612462625,110.1528168922163,0.500059625,183.07679443359376,239.80394230802008
0.0866199765700286,0.0238744495442041,0.1089740623489168,0.0150218977306122,0.0412496775108241,1.490784506546886,0.1089740623489168,0.4324878781165958,0.8515298531532544,1.984951658937555,0.6292893584273429,0.0207193871647248,1.0796970903973377e-05,2.994027403359437e-05,3.243498804328546,31.63439203159779,0.4926220602910239,3.183239340316435e-05,16.56759204179688,103.0122293905033,110.17386890510647,0.500148132125,183.1206936987305,239.87005877534384
0.0866378193573726,0.0238779954490568,0.1089964154863785,0.0150358959850175,0.0412413690185182,1.4912272937510298,0.1089964154863785,0.432572764613337,0.8516949966320336,1.985508298006988,0.6294725494638825,0.0207224096676333,1.0798545944571849e-05,2.9944439765143937e-05,3.2445505491989,31.646118165297874,0.4927657666021182,3.183684937290163e-05,16.577038574716802,103.0506295329418,110.2082427531889,0.500294417628125,183.1920144318237,239.98064705818248
0.08666397312309,0.0238831124093894,0.1090291938004176,0.0150592943139714,0.0412317215436251,1.4918864848042763,0.1090291938004176,0.4326974618462456,0.8519366026544415,1.9863376818527412,0.6297451903275167,0.0207267753054429,1.0800820899136544e-05,2.9950606021681625e-05,3.246249899903105,31.668105827859296,0.4929797806177137,3.1843427288548144e-05,16.593244274257454,103.1074756056727,110.25892079252908,0.5005120237738531,183.2965449800348,240.14900885474736
0.0866968856471718,0.023889126957271,0.1090704356347755,0.015094128673121,0.0412186680214744,1.4927574455026424,0.1090704356347755,0.4328537831446741,0.8522384980858828,1.9874279002623416,0.630104911865664,0.0207319036124013,1.0803493284211226e-05,2.995790813271316e-05,3.248631879998641,31.701359401217967,0.4932624626558252,3.18512114652873e-05,16.616038744273386,103.18318404637527,110.32564147058432,0.5007991456032937,183.43481549362588,240.37985380591
0.0867352842099009,0.0238955108283216,0.1091185587370713,0.0151418128665891,0.041205506161408,1.4938341676365416,0.1091185587370713,0.4330357080507594,0.852589130444283,1.9887752156231784,0.6305496326933897,0.0207373559435372,1.0806334519821384e-05,2.9965759254698635e-05,3.2517079999312704,31.74609263265135,0.493612078853181,3.185957230534552e-05,16.64751655339778,103.27782609069992,110.40805388612551,0.5011540125834324,183.60709179388016,240.67570187359323
0.0867782601796818,0.023901915998053,0.1091723961856445,0.0152034264944025,0.0411903730817993,1.495112057280538,0.1091723961856445,0.4332377001901835,0.8529788929505318,1.9903663336520276,0.6310770034110392,0.0207428066330764,1.080917489998774e-05,2.9973780864466836e-05,3.25552421122382,31.803642818846352,0.4940269181771901,3.1868097020659485e-05,16.687457198982422,103.3912736319658,110.50566779989448,0.501574888017227,183.81322955805405,241.039797104572
0.0868249354380524,0.0239080036967785,0.1092308491792996,0.0152800483112681,0.0411702150375284,1.4965878890357345,0.1092308491792996,0.4334540352268495,0.8533967598059928,1.9921861362584696,0.6316849112293835,0.0207479856939386,1.0811873733162398e-05,2.9981785219032366e-05,3.260147887019067,31.875831810758086,0.4945056563059741,3.187656418579507e-05,16.735527200944436,103.52322097330077,110.6176671305448,0.5020600684632893,184.0525087518545,241.47325904290196
