RSY_BPFI_0,RSY_BPFI_1,RSY_BPFI_2,RSY_BPFI_3,RSY_BPFI_4,RSY_BPFI_5,RSY_BPFI_6,RSY_BPFI_7,RSY_BPFI_8,RSY_BPFI_9,RSY_BPFI_10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1002978113028686,0.6473613929988065,0.5975707122297457,0.5641222545126273,0.6163651633098326,0.599901627259265,0.4753094904948635,0.4932609399454348,0.5462321944686563,0.5429657355691195,0.3890333760241611
0.1845626426279012,0.6437969672194164,0.5309441949425566,0.5941429755181535,0.5208658849375729,0.529512346746431,0.5580277954335212,0.4113998560709285,0.5307878239723722,0.6228484606556494,0.4373126541629137
0.125347258882601,0.6751938486822564,0.5004529954553548,0.4984325811526228,0.6749275099701145,0.4872808795221178,0.3858969005947925,0.4800396926620267,0.5033630797431308,0.4595506545460213,0.5057851330677015
0.1002681656720217,0.6750809607879579,0.5315522015222373,0.5652812177085802,0.6496073352894577,0.513787123346239,0.5131726288276375,0.5993978623162216,0.5059419757553315,0.4462962380344003,0.4780960751453986
0.1666801396676744,0.5956588755585447,0.4650904814714274,0.5896137117098067,0.598481807739591,0.4907685711629663,0.5062462937560509,0.478562658619942,0.455362586654225,0.485591473011525,0.3807174439741683
0.2169404576428675,0.6332507760971494,0.6871897599654462,0.4372397659586223,0.5772635995985489,0.551896786858829,0.457992768561656,0.5758427643943888,0.4348988777077905,0.4283683640434261,0.4223033528809608
0.180746542698336,0.5908319546824854,0.6154460839195582,0.5738241762105689,0.5524335172164462,0.6174825165232081,0.5084024072734015,0.5421648461812884,0.464784257306944,0.5285369358541081,0.410475084024082
0.164616517263574,0.6485901941295793,0.5435728533406201,0.4684779144891292,0.5182124028133811,0.5029715840454663,0.4674655886025925,0.4809622980305273,0.5117811683425221,0.4844407266551683,0.4536163897657031
0.1952893335064797,0.6157108705226236,0.6100612376948868,0.5336128423625484,0.5970298760249617,0.5784129236733958,0.5689630724152814,0.516347808168463,0.5214477391168894,0.5790620357238773,0.3688356014422547
0.1208041963101973,0.57299551494831,0.4896693952855497,0.5030763890297838,0.6019045919518118,0.5740055051974334,0.4631605663003104,0.4915311380517419,0.5667326782401013,0.5523116420765608,0.4346861190413364
0.2129049193730675,0.5897065345209119,0.6448198311564388,0.4837558895532801,0.5817868297450728,0.5639813815996481,0.4288414374987209,0.5010165469152665,0.5526008529384661,0.5398412137571132,0.5521319045272328
0.074603225104822,0.5781073670035484,0.6016973942198353,0.5501366664586613,0.586132852423288,0.4983011825506553,0.4247585910051403,0.5029783689507401,0.4993570698570042,0.5165757900936044,0.4451547149791191
0.0816477950463459,0.4244217325117978,0.5835611344327087,0.5220201472587276,0.5988617208010019,0.5036728836769895,0.4434034920606199,0.5666891436007462,0.4734788423925082,0.4761871232736437,0.4774683064193364
0.122256372256855,0.5026864231633008,0.6254071144268217,0.4311490359212711,0.6239081642825737,0.5331934146556723,0.4495112560023456,0.4399218991664601,0.4822591703820443,0.4970820541320599,0.4307709812909551
0.0824660116813616,0.5739633087243952,0.4515951091127099,0.4661945625016362,0.5844537486741487,0.5052274174448185,0.3802714863094406,0.459903152324378,0.502822709022496,0.49992645227321,0.345602535655102
0.0805646990901442,0.6331604464198783,0.539251442799234,0.4714537176387791,0.6094834332126233,0.5862827685150198,0.4366320722489237,0.4885284759964746,0.5070191107857562,0.5272680668593621,0.2118122775660069
0.1880321423867975,0.6636681343192903,0.5855869506494948,0.5127860523671619,0.5364499893695566,0.5149992195357891,0.4008646908036599,0.4574998442720178,0.3997288965492642,0.5753511888259759,0.3601839418659552
