Média,Média Absoluta,Variância,Desvio Padrão,Kurtose,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Taxa de cruzamento por zero,Fator de Forma,Energia,Energia Média,Variância da Energia,Desvio Padrão da Energia,Assimetria da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Centroide Espectral,Largura de Banda Espectral,Planicidade Espectral,Corte Espectral
1.2468324983583301e-18,0.0892703160041269,0.0247985560558443,0.1113497939317912,-0.0536754281091833,1.554188178009579,0.1113497939317912,0.3864060538270336,0.7553260888506367,1.7348265963777605,404.4,0.6236840100803165,0.0205876983254768,1.0728347225365722e-05,3.4629097086870246e-09,4.153874091294442e-05,5.418546122411219,97.82894251543787,0.4985929048171248,4.290407018098999e-05,103.2929084147201,76.40021996292131,0.5,178.90625
1.2468032248996731e-18,0.0892731069405993,0.0247993602192264,0.1113532670356957,-0.0536778696644354,1.5542353296857183,0.1113532670356957,0.3864169281389365,0.7553487160686853,1.7348735614795914,404.41194,0.6237026764165379,0.020588339295477,1.072868123787236e-05,3.4630028032187523e-09,4.153992261425013e-05,5.418650249345454,97.82988131955705,0.4986078046653696,4.290529818031023e-05,103.2959091056109,76.4024608514627,0.500015,178.91141796875
1.2466819839917346e-18,0.0892812143692835,0.0248016424227675,0.1113633528245796,-0.0536858998310428,1.554374741207033,0.1113633528245796,0.3864493865732862,0.755415785326808,1.735017372782072,404.4468315,0.6237581898264429,0.0205901579974708,1.0729628972105734e-05,3.4632822604827838e-09,4.154345394393522e-05,5.419005808521729,97.83368317800895,0.4986521932547594,4.290895510868172e-05,103.30515171587128,76.40918360422941,0.500059625,178.92705048828125
1.2464938474573885e-18,0.0892970782738848,0.0248060506267625,0.1113830909991298,-0.0536998879440641,1.5546490633366643,0.1113830909991298,0.3865147471787615,0.7555506680219909,1.735311096420596,404.5147489215,0.6238683116042512,0.0205936913410999,1.0731470214226128e-05,3.463870940853876e-09,4.155065909686796e-05,5.419784742515476,97.84297082017876,0.4987402254722139,4.2916394318884525e-05,103.3235941167646,76.42251624947747,0.500148132125,178.95805313837892
1.2462437584799481e-18,0.0893231115668732,0.0248132355061906,0.1114154887383465,-0.0537211166748209,1.5551005635638142,0.1114154887383465,0.386624862347645,0.7557752721578814,1.7358094852124517,404.6265763827375,0.6240503604169549,0.0205994599147035,1.0734476245285844e-05,3.464863641694025e-09,4.156268607991604e-05,5.421109739693249,97.85900673815902,0.4988855205067151,4.292879539876575e-05,103.35434816948076,76.4446596965848,0.500294417628125,179.0094651021509
1.2459373598491177e-18,0.0893616818208571,0.0248238381847199,0.1114634927869259,-0.0537513252431771,1.5557719383766426,0.1114634927869259,0.3867900462676658,0.7561085592718034,1.7365599297915393,404.7924709451058,0.6243211913221834,0.0206079858147829,1.0738919132247485e-05,3.4663681036165343e-09,4.158074328211982e-05,5.423130034596935,97.88406305554597,0.4991013337048694,4.294739693834432e-05,103.40024433235467,76.47768856610632,0.5005120237738531,179.0861972776078
1.2456411489499277e-18,0.08941243605131,0.0248377621923754,0.1115266855235323,-0.0537892348904609,1.556657223834931,0.1115266855235323,0.3870093185084519,0.7565482776641412,1.737558274861744,405.0101191569575,0.6246786799731769,0.0206192063902027,1.0744766227307354e-05,3.468382729621869e-09,4.1604751630039096e-05,5.425854085343576,97.91870526548118,0.4993858759914072,4.297211404437378e-05,103.460874690918,76.52130127448399,0.5007991456032937,179.18758551016296
1.2453329619548895e-18,0.0894750314891077,0.0248549113583242,0.1116046540202606,-0.0538342510685758,1.5577521929814897,0.1116046540202606,0.3872807748137915,0.7570892839696307,1.7387962625266122,405.2774822928711,0.6251207008480825,0.0206330546575392,1.0751982625085625e-05,3.4709068894366623e-09,4.1634631329212495e-05,5.429247546627007,97.96198879123408,0.4997373319081083,4.300286070376495e-05,103.5359025975195,76.57528653914538,0.5011540125834324,179.3132362635626
1.2450440424599494e-18,0.0895491428534503,0.0248751771297155,0.1116969609837403,-0.053888899069637,1.5590518911057083,0.1116969609837403,0.3876023165289051,0.757727861565052,1.7402652266671652,405.5927298325134,0.6256449097426185,0.0206494161245118,1.0760508663111976e-05,3.473916255642285e-09,4.1670163947540825e-05,5.433235720077239,98.01110969633127,0.500154003505053,4.303941046711103e-05,103.62519680244108,76.63939055242069,0.501574888017227,179.46255120405075
1.2446796294166482e-18,0.0896343235614905,0.0248983949692897,0.1118030410455048,-0.0539528325900157,1.5605507153933136,0.1118030410455048,0.3879728029088102,0.7584606153469889,1.7419630317162569,405.9534845613207,0.6262491402588448,0.0206681425517566,1.0770267093150957e-05,3.477370502369342e-09,4.171103853782889e-05,5.437726442807116,98.06228353957324,0.5006341974688776,4.308144293620121e-05,103.72857921743596,76.71346225790778,0.5020600684632893,179.63545894183716
