RSX_BPFI_2,RSX_BPFO_1,RSX_CAGE_3,RSY_BPFI_2,RSY_BPFO_2,RSY_CAGE_2
1.0,1.0,1.0,1.0,1.0,1.0
0.6729558836139679,0.7901247113416208,0.7447963102277679,0.6761008346962881,0.7507073456864216,0.5403028924419498
0.6803234829881876,0.756550872449202,0.679979266380883,0.7869305704975993,0.8412391755266615,0.6084405756176431
0.6809092349066972,0.8163610347871285,0.6733466945083417,0.6735429234262287,0.7764280148623366,0.5443981368730794
0.7105932464140634,0.8307842134358194,0.6657758591017751,0.6679352618729367,0.7459072915077738,0.5687604100408723
0.6064445589731602,0.7945934818592608,0.6514195169461854,0.6785428580690668,0.7870511401783441,0.5465007122742932
0.6722697171136539,0.7576935190017666,0.7108353014221687,0.6187176806412404,0.7759882803351648,0.5159394578802471
0.6865121801534404,0.7887781659736455,0.6728997399891323,0.5136168385110369,0.7653437730402762,0.5483477989325628
0.6585580382036691,0.7481699768571836,0.5209636366321181,0.6424715445520085,0.8156291327308339,0.5663839682719022
0.6887364306915381,0.717362246123733,0.5791854607673117,0.5414360622625712,0.7143139137094547,0.5130639146308573
0.692525428160503,0.7481345929293459,0.5635687114004697,0.6843338287941113,0.6508395992703382,0.5188056218235821
0.6411734893575594,0.7320885618995536,0.5387345929402904,0.6680327164847554,0.5669320497621108,0.4634097114335937
0.6605222720424333,0.5375116405697643,0.5552007495536159,0.6810592423984436,0.6189835233214847,0.500402484835159
0.5710477261782169,0.6311283026737395,0.556238823701059,0.5263498278281544,0.6940994765878034,0.5121447900211549
0.6269413897563532,0.7055348920121356,0.5297736513435589,0.5138159107186673,0.5983904660152802,0.4051376554422689
0.6380799071067832,0.7458940746348169,0.5203929548048278,0.5360435011363567,0.6170572371760055,0.4429888841264056
0.6306501433530735,0.6670743413530239,0.5021074212518494,0.5882650148724462,0.6610449268659396,0.4834848868367712
0.6067633536906709,0.6421446498609149,0.5119267902572819,0.6299697644698323,0.6439221140670072,0.4547393177573343
0.5523505101792332,0.6775223588748238,0.5245449227044376,0.5745300086526586,0.6786081821855356,0.4608449752112855
0.5864300504807567,0.5365104989863103,0.5209860140077904,0.5671249626055833,0.7109726130540976,0.4814059591853447
0.6265280099064316,0.6137940154625667,0.5099938084171137,0.5586837111424725,0.7066846813897835,0.5146318333579019
