Mode_1,Mode_2,Mode_3,Mode_4,Mode_5
1.0,1.0,1.0,1.0,1.0
0.4715541329813498,0.5967634952751486,0.7830378982398324,0.7910191980349199,0.7728714385130093
0.4226324684072134,0.5864475391694031,0.7466078074811423,0.7710553442605397,0.764883880978719
0.4529813429321111,0.5969671708112303,0.8012970906211916,0.7768409665690519,0.7642136965142181
0.4549316659046878,0.8004394169227238,0.7567701628987917,0.7613139744235824,0.7777619229399799
0.4325361915792877,0.7208738399475998,0.7710914485983277,0.7952490149628283,0.7582135352394499
0.4220993263165479,0.6053476547690779,0.7950728882920796,0.76209530934152,0.7694147274092288
0.4487618321976471,0.6074188763194504,0.7488991606770422,0.7832651806159306,0.7690888052448979
0.4262665744839515,0.5898717029648304,0.7550283829816444,0.7533883966054528,0.7672194001769418
0.4620721041038729,0.6062537343861661,0.7842511380288373,0.7632637700035411,0.7412927048828242
0.4497828136338384,0.5641981278432072,0.7797074728587744,0.7896735929310689,0.7564475904784499
0.4638898185059397,0.5900388553691649,0.7718758813753087,0.7573516243281802,0.7582775909643734
0.4507479328077434,0.596456498160501,0.7351654084129637,0.7732239309121011,0.7475260945676825
0.4581855514892993,0.5699131209040398,0.7335897337218592,0.7847623684386151,0.7760465951105853
0.4523074286691945,0.5639665604675567,0.7617643221022663,0.7770505595136508,0.7664779447062517
0.4691961820822896,0.594573994317079,0.7351969864821103,0.778566158740902,0.777915934080043
0.4516712430113643,0.5991105138531806,0.7653795636010644,0.7820524875615071,0.7680596189129256
0.4593446875893159,0.5906618506205589,0.7454616265021875,0.7761886004041795,0.7623360836839405
0.4630278011310743,0.5790840520238429,0.7481570170651395,0.7630956012314473,0.7547926023125193
0.4701626356606415,0.5917920653764329,0.7445930844471113,0.7664104125664577,0.7484027486678125
0.4521152144460388,0.6042746654188736,0.7325506271182849,0.7850600959634183,0.7878672918045918
0.4522251148102599,0.5933204656135299,0.7402028593573879,0.7767461066384831,0.7690974431847939
0.4476055947117837,0.5707215443948855,0.7528643040775509,0.7616782430881128,0.7454761690914035
0.4532372327994143,0.5619319215530372,0.7654516180915255,0.7675361658259668,0.7726474168285657
0.4474872609928993,0.5884298076726961,0.7420901445459039,0.7561987425568121,0.7729061501804189
0.4802797592259151,0.5642135476911028,0.7647751594573774,0.7581724026308337,0.7708227494385222
0.4468726196134517,0.5935432475172102,0.7435787760657214,0.7661667208019494,0.7701652422016916
0.446015348354662,0.5572594165477314,0.7530031603288398,0.8053917624886724,0.7798320799464611
0.4693103866115513,0.5733626466584458,0.7776845789676456,0.7790701647722613,0.7739647758304634
0.4685671209025248,0.5523535077663775,0.752372895942242,0.7882219293927557,0.7671424951901243
0.2640132513375773,0.390090717887982,0.4626378861121797,0.7365504492025262,0.6642062558928019
0.3149152150220417,0.3560114982809095,0.5557213087065818,0.6690854401811175,0.6392193082474369
0.3201478362452297,0.3652358400179748,0.6054845237302342,0.6628204589631523,0.7287599029358124
0.2685556047978506,0.3957831495945432,0.4930697466804595,0.7319264152339535,0.7089192164453575
0.2640887045648852,0.4118145995890228,0.536150018695471,0.6457672423648037,0.725326675121782
0.2936987708609616,0.3831532721312177,0.6613225402234835,0.7291974277330467,0.7531059306180755
0.2674070417542056,0.3321761971686576,0.6840722098375711,0.6726609615628133,0.7349326235140019
0.2774484775701809,0.3316137515981691,0.5990101310649233,0.7275977716295015,0.713043114969097
0.24200880237807,0.3754463808725019,0.5941125986425377,0.655500946909612,0.6535227273091352
0.2071686314484062,0.3446611621870178,0.5412263469352403,0.6245794979283734,0.670986464419448
0.2270539443407891,0.327931070175227,0.5049458219148715,0.6972334160439319,0.7295311446769506
0.1614549580018495,0.210483649191501,0.4536132179054553,0.7278563218966365,0.6575622768012106
