Média Absoluta,Variância,Desvio Padrão,Assimetria,Kurtose,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Taxa de cruzamento por zero,Fator de Forma,Energia,Energia Média,Desvio Padrão da Energia,Assimetria da Energia,Entropia da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Centroide Espectral,Largura de Banda Espectral,Planicidade Espectral,Corte Espectral,Razão Pico para RMS
0.0566272480066088,0.0100262273722869,0.0707747089705014,-0.0026969930066205,-0.0558097243245473,1.5438455988500752,0.0707747089705014,0.2447539024428354,0.4906401077538632,1.7304418102683077,437.7000000000001,0.6249862692913926,0.0083093455752673,4.330039382630236e-06,1.804165509813441e-05,4.965104205994788,0.2778967954173078,71.77354732956081,0.4904721506501653,1.855694560635109e-05,59.59004142493779,65.54015328626693,0.5,127.109375,356.7409042604954
0.0566289242142937,0.0100265169355784,0.0707767930648785,-0.0026969197406286,-0.0558113161418725,1.5438920217805392,0.0707767930648785,0.2447614113145761,0.4906544443495968,1.7304958544024645,437.7129900000001,0.6250049193763066,0.0083095790368202,4.330161040552535e-06,1.8042184881489876e-05,4.965256389135192,0.2779045591040007,71.7756384576136,0.4904871030306387,1.855748917884284e-05,59.59170443403176,65.54213789598161,0.500015,127.11320703125,356.7517337733985
0.0566338338594118,0.0100273531957123,0.0707829005300662,-0.0026965729713514,-0.0558169693237062,1.5440298330504272,0.0707829005300662,0.244783676630822,0.4906967658087736,1.7306585976968276,437.75180025,0.625060432569374,0.008310252704687,4.330512092072465e-06,1.804366062633659e-05,4.965694128262942,0.2779291711695238,71.78149225139998,0.4905315323764418,1.8559006215565768e-05,59.59695177359573,65.54804768019753,0.500059625,127.12460732421874,356.78485280592673
0.0566436182548801,0.0100290313333224,0.0707950829961464,-0.0026957916924741,-0.0558264553504066,1.5443028790497286,0.0707950829961464,0.2448285784762464,0.4907814911823471,1.7309848059857105,437.82788829525,0.6251706303727419,0.0083116140925242,4.33122151773019e-06,1.804659173660008e-05,4.966552361123632,0.2779793953376788,71.79289341952813,0.4906196710839238,1.856202219231251e-05,59.60758778586015,65.55970956355016,0.500148132125,127.1472415663086,356.8500624012995
0.0566597720517074,0.0100318002017576,0.0708152002290256,-0.0026948971509555,-0.0558422330877249,1.5447543860108195,0.0708152002290256,0.2449022404768867,0.490921198241088,1.731520251631609,437.9528563693313,0.6253528037468506,0.0083138614585893,4.332392630843881e-06,1.805140641084624e-05,4.967991364424835,0.2780615663495288,71.8128292058351,0.4907652476827359,1.856697759187931e-05,59.625288902184025,65.57887688198691,0.500294417628125,127.18460063624757,356.95951585552524
0.0566837028084875,0.010035890238364,0.0708450191010643,-0.0026913559992643,-0.0558636024008346,1.5454250480089278,0.0708450191010643,0.2450121353399346,0.4911292697148424,1.7323221725058726,438.1376660583162,0.6256239512609781,0.0083171912629969,4.334127807710769e-06,1.805847767331425e-05,4.970125934207826,0.2781844466488414,71.84263243896166,0.4909815215345209,1.8574259213040184e-05,59.651844070962746,65.60747204087755,0.5005120237738531,127.2405552057031,357.1238638182399
0.0567149144019882,0.0100411672198258,0.0708839251722016,-0.002684739554305,-0.055887912048598,1.5463073053841023,0.0708839251722016,0.2451567676658931,0.4914035077315577,1.7333891721348182,438.3800975766211,0.6259818566950991,0.0083215051519515,4.336375795701703e-06,1.8067452895103847e-05,4.972860471845546,0.2783528463968831,71.87994513018276,0.4912671211962052,1.858351242236869e-05,59.68722649212497,65.64527943410062,0.5007991456032937,127.3146347833268,357.3415065107121
0.0567530696979058,0.010047547450938,0.070931482593341,-0.0026736483653618,-0.055915401125993,1.5473951359277849,0.070931482593341,0.2453348652786952,0.4917414622142686,1.7347171661425809,438.6783976570596,0.6264241750399894,0.0083267183354199,4.339092410328304e-06,1.807809311228224e-05,4.976162116874296,0.2785684210388901,71.92424633240225,0.4916203394051616,1.8594494992470368e-05,59.73140615090029,65.69218603047803,0.5011540125834324,127.40641300697908,357.61245073111826
0.0567976250555422,0.0100548840247584,0.0709869992159791,-0.0026570794257967,-0.0559473850662977,1.5486848074412694,0.0709869992159791,0.2455435616237528,0.4921370625171141,1.7362961047570842,439.0294382208507,0.6269485992016859,0.0083327098236764,4.34221460327071e-06,1.8090155908186285e-05,4.980029909619257,0.2788284524774631,71.97604307952916,0.4920402605971704,1.8606956489151786e-05,59.78447054032405,65.74793266053854,0.501574888017227,127.51557692357252,357.9411822780252
0.0568482326267633,0.0100630940209191,0.071050046994818,-0.0026342945362115,-0.0559832578197871,1.550171210907037,0.071050046994818,0.2457814102270528,0.4925871111438835,1.738121017343441,439.4320060108984,0.6275530708758731,0.0083394123132969,4.345707302395503e-06,1.8103420887762565e-05,4.98443131257886,0.2791330614104282,72.03493913336828,0.4925247865540209,1.8620674733709783e-05,59.846467049626014,65.81228879102751,0.5020600684632893,127.64179531155013,358.32918441673195
