Média,Média Absoluta,Variância,Desvio Padrão,Kurtose,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Taxa de cruzamento por zero,Fator de Forma,Energia,Energia Média,Variância da Energia,Desvio Padrão da Energia,Assimetria da Energia,Entropia da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Frequência de Pico,Centroide Espectral,Largura de Banda Espectral,Planicidade Espectral,Corte Espectral
2.5017965130103018e-18,0.1735009434785592,0.0897619991154663,0.2117940789457081,-0.2200854387690619,1.547514419456942,0.2117940789457081,0.7006655636391473,1.4526020301302816,1.655137273946257,973.0,0.6103664485762504,0.061512138151813,3.205426688473846e-05,1.6732099904785417e-07,0.0002870620229891,12.10966297149346,0.0713777965404374,365.4799672272635,0.4986905014159238,0.000288865864425,1.875,63.488056950638864,67.65894233420416,0.5,115.078125
2.501853433624357e-18,0.1735060460601736,0.0897646397309189,0.2118003725322682,-0.2200905555032273,1.5475616247981514,0.2118003725322682,0.7006862418946181,1.452642841568024,1.6551865580593934,973.029085,0.6103849497596778,0.0615141257674568,3.2055302640675816e-05,1.673270897745e-07,0.0002870715812787,12.110040514851782,0.0713794313589935,365.4915901741303,0.4987054315653109,0.0002888754786691,1.87505859375,63.48975335393471,67.66089810442078,0.500015,115.08140625
2.5019552808659353e-18,0.1735214085223518,0.0897726632934668,0.2118192927590433,-0.2201070726013539,1.547700885579545,0.2118192927590433,0.7007503328523562,1.4527691937620957,1.6553376306870236,973.115327875,0.6104399112458644,0.0615200806880083,3.2058405778013746e-05,1.6735242125022922e-07,0.0002871045845637,12.111330653707416,0.0713836326952349,365.5363050069467,0.4987498253866372,0.0002889086319948,1.87523291015625,63.49474834211057,67.6667759927465,0.500059625,115.09116796875
2.5022253352305483e-18,0.1735523301539514,0.0897890124292456,0.2118573174209367,-0.2201417013657844,1.5479781674545403,0.2118573174209367,0.7008771854074501,1.453019530810845,1.6556330591591688,973.2859303153753,0.6105487603581153,0.06153204118135,3.206463844781139e-05,1.674039119222819e-07,0.0002871709812096,12.113824092368056,0.071392485599032,365.62095602540205,0.4988378501590557,0.0002889753291356,1.875578641113281,63.50448623140508,67.67848897373041,0.500148132125,115.11052890234376
2.5026073345587542e-18,0.1736042249726829,0.0898167757709647,0.2119209995343005,-0.2202020256717146,1.5484373957422517,0.2119209995343005,0.7010869812445187,1.4534353775502171,1.6561156193525248,973.5672403955596,0.610728315047093,0.0615519098253777,3.2074992092432415e-05,1.6749039935457817e-07,0.0002872818658422,12.117981933995162,0.071407265134871,365.76317738631366,0.49898306250225,0.0002890867088171,1.8761383501098632,63.52057824981086,67.69788480912047,0.500294417628125,115.14252885615235
2.503191139004057e-18,0.1736819926807206,0.0898586058773098,0.2120163331558079,-0.2202942249656127,1.549120983147391,0.2120163331558079,0.7013995999916682,1.45405612509587,1.6568302157959065,973.985024834192,0.6109951416874592,0.0615815485457459,3.2090436970164635e-05,1.676264232736916e-07,0.000287451326021,12.12431699850948,0.071428618261141,365.9839350218192,0.4991989709987741,0.0002892568915769,1.876953510835364,63.54457249317435,67.72688624488575,0.5005120237738531,115.19034113803038
2.503977744775849e-18,0.1737859327554015,0.0899151702840515,0.2121436673177428,-0.2204192864681038,1.5500263935457692,0.2121436673177428,0.7018135687545419,1.4548737453402765,1.6577648839728565,974.5352745757992,0.6113469892999636,0.0616213769604009,3.211119174590981e-05,1.6783213521673173e-07,0.0002876904044447,12.133080709827787,0.0714538906460399,366.2989447959629,0.4994838400036961,0.0002894968937256,1.8780176530402104,63.57565793952693,67.76498813884884,0.5007991456032937,115.25321407728303
2.5049603679670447e-18,0.1739156187691713,0.0899863094077433,0.2123024379517539,-0.2205782492813401,1.5511484524554355,0.2123024379517539,0.7023269204304012,1.455883173976283,1.6589135852455614,975.2139853201412,0.6117815748641957,0.0616711582751273,3.213713302507939e-05,1.6810543150035214e-07,0.0002879970609091,12.144261244148051,0.0714831606008458,366.70907231605486,0.4998358594577929,0.0002898046725774,1.8793009924133104,63.61343201342371,67.81199567582095,0.5011540125834324,115.33065851688366
2.5061945699476784e-18,0.1740704517491397,0.0900717149929051,0.2124919144959479,-0.2207708158113963,1.5524833017005832,0.2124919144959479,0.7029349459188712,1.45707450625679,1.6602652814333725,976.0173230046884,0.6122967800919882,0.0617306270993599,3.216812251139135e-05,1.6844526387113074e-07,0.0002883700925395,12.157745335298165,0.0715162343826692,367.20796261140725,0.5002528315744309,0.0002901790169674,1.8807744519041267,63.65745790494772,67.86767471306402,0.501574888017227,115.42227730088268
2.5079064752205357e-18,0.1742501295879586,0.0901713847754066,0.2127117228408187,-0.2209971575083761,1.554025586258077,0.2127117228408187,0.7036367156119496,1.458445279096841,1.661815130822181,976.9413501493236,0.6128905117006604,0.0617997802483282,3.220415854524662e-05,1.688550390415186e-07,0.0002888114140939,12.173569403304018,0.0715526249602933,367.7991891781459,0.5007331111081232,0.0002906218322607,1.8824096485088109,63.70696594888123,67.93155975626672,0.5020600684632893,115.5272708602542
