BPFI,BPFO,CAGE
0.9776404421051861,0.7220393939365916,0.8558059055322778
0.6730529467590797,0.4539007575624009,0.3854799132953183
0.5391584489530425,0.46657583032999683,0.3077014930553268
0.5419650782605961,0.4643429205086324,0.3366675147417686
0.5600999748127355,0.5255583813788748,0.3626484124579736
0.524115508716836,0.5147656663373743,0.34335408751077046
0.6906487215324365,0.5343292019892061,0.39196168397838727
0.6201782237347542,0.5046902793329427,0.33498073954924135
0.5647078178161911,0.47320742417864803,0.3578058898458541
0.6068261699645556,0.5053692011440387,0.32859172931371516
0.4803117503958462,0.4622839512773323,0.33111878288811475
0.6437310128958251,0.4840341624828521,0.33941877274677784
0.5603567412583952,0.4766908214010425,0.34233314293319195
0.578591193106726,0.4902705605058098,0.2980356808821594
0.590428614299037,0.4162015181617419,0.24899580833096804
0.4560966512726497,0.45887215673056175,0.28267044401461894
0.503958474413583,0.4700818037787513,0.3095417381532855
0.562968649580417,0.4481195918022879,0.2797853734876152
0.5280927342130327,0.4323134226891046,0.27963978403658807
0.46123083155495453,0.4531845379134465,0.2834947246778525
0.45872502107025703,0.4584805028150409,0.28167234277030184
0.4574601006463631,0.4157487942446849,0.29555887172835893
0.5503785820571427,0.4253383935265608,0.27516970048333206
0.5219819403364591,0.43399100310416927,0.2821626181087576
0.5333170081107383,0.4542406647913791,0.2705052034571232
0.4871971454425136,0.42338433018006816,0.26937125673208534
0.5398551242600216,0.44603917195558995,0.2352687727404043
0.5762820863410194,0.4245242157930587,0.24026652199173393
0.45395771659356754,0.41987691065181365,0.23788368728701303
0.46859010278825225,0.43056894827064585,0.2546826479201629
0.4808700085914621,0.41959956781978364,0.2713325448344074
0.5259667983018019,0.3466606534592717,0.20458562769456928
0.45996151284507886,0.39240054898233745,0.21128726165995723
0.4691003109348214,0.42280261061951885,0.24161745613849878
0.3361359606147224,0.40804506340672214,0.24199934577540902
0.39058065929579866,0.1408615884357486,0.18742775233885198
0.2869143155531763,0.20645684618141827,0.19871363714263152
0.3789056088306973,0.2399242966203127,0.15632326601502464
0.4160925653014875,0.2993817931807498,0.2059317333666567
0.2978034569624544,0.09247342477883826,0.11736459528119933
0.33309994018748595,0.16506028653133248,0.1409180833498377
0.2840234685083755,0.16650301597511624,0.0871756823668081
0.29167612582691893,0.13865551488178082,0.09763068292117495
0.2941492941545037,0.09926834304087075,0.08592346105843261
0.3228803406514582,0.08734727635248808,0.11097289766492088
0.24509138034403047,0.10587766721659278,0.07583423245848388
0.29236424392540483,0.12834228763832356,0.08560344583708782
0.254307177881088,0.11647709437728798,0.10581709619658695
0.3395172492090653,0.11307788554120016,0.045153344702657486
0.4327301810633491,0.16197384789812705,0.07932617306930309
0.29184901990311796,0.1325116854362001,0.10369917150732028
0.3342648580059298,0.10693717260928959,0.10886365012155184
