Razão Pico para RMS,Frequência de Pico,Corte Espectral,Entropia da Energia
580.6586654691502,396.875,396.875,0.3643857265385103
531.244291617341,325.78125,338.28125,0.5010565572847423
474.9799237714493,397.65625,346.09375,0.4567401192410337
514.8468362406712,195.3125,353.125,0.4765275179725818
513.6419038386927,194.53125,339.0625,0.3773490980410359
361.1687871080858,397.65625,342.96875,0.6033958631669
502.6224506343633,195.3125,335.15625,0.2961150486808578
497.0351456281584,194.53125,349.21875,0.3196329460208312
462.86417049751645,195.3125,348.4375,0.4555836114254721
527.3787072181718,194.53125,342.96875,0.2843646888592654
533.5330182262036,194.53125,342.1875,0.3810674192651783
570.5593209713036,194.53125,342.1875,0.2400475247615069
556.7513743823911,194.53125,337.5,0.2802348420173735
531.4991295841194,194.53125,342.96875,0.146718074224335
556.3396380457415,194.53125,342.96875,0.1640064237775493
448.72629867039024,194.53125,329.6875,0.3474435066895063
470.2988636623533,194.53125,376.5625,0.2903008086192
528.1502853375334,194.53125,330.46875,0.1491406747986695
510.2842428378577,194.53125,347.65625,0.1889580761095405
470.3396870374468,194.53125,342.96875,0.2701502126619705
508.5822759843815,194.53125,343.75,0.3552938317395728
513.2259541636467,194.53125,334.375,0.2370314689640841
487.1579259494361,194.53125,326.5625,0.139798239597181
539.8509652036863,194.53125,313.28125,0.2833634025713331
523.8440140114955,194.53125,337.5,0.2979000128902961
520.2681294774201,194.53125,326.5625,0.1856882860583926
507.4365046649546,194.53125,342.96875,0.3637463594293181
501.8486615486268,194.53125,326.5625,0.2562768644164317
503.2838053321382,194.53125,333.59375,0.1860897498167881
483.3905695710358,194.53125,333.59375,0.2056375569721019
140.97855617678476,114.84375,232.8125,0.0876720987024579
85.63333603271072,77.34375,306.25,0.1285928447860208
68.19603484216603,114.0625,311.71875,0.0803255964686792
43.802526366666974,114.0625,228.90625,0.0722680046891739
29.687381658414683,228.90625,228.90625,0.0660971819899166
35.340837853982904,114.0625,151.5625,0.0349671604359924
26.848758963304046,114.0625,150.78125,0.0230407582226873
23.42919673528256,114.0625,150.78125,0.0162382438689628
14.63159096201745,114.0625,114.84375,0.0217256362767334
14.257560435203994,114.0625,114.84375,0.0230407582226874
11.744427290339484,114.84375,115.625,0.0302516494656
7.233662393915754,114.0625,114.0625,0.0155806828959858
