Razão Pico para RMS,Frequência de Pico,Corte Espectral,Entropia da Energia
353.65202196583834,39.0625,310.9375,0.3103468919195025
318.1166961615747,39.84375,328.90625,0.7113847079285461
293.70778392499625,7.03125,292.1875,0.4185637861326173
283.2622086323153,39.84375,247.65625,0.4205270754317258
267.04845435910784,39.84375,247.65625,0.4215517215387469
263.09292090603424,39.84375,247.65625,0.4913064164506627
313.4761304957951,3.90625,252.34375,0.3490397092088264
287.7003970863177,39.84375,255.46875,0.3975057576816591
269.8393580911289,39.84375,227.34375,0.3538172266823918
271.2591395223586,39.84375,253.125,0.5329536504417801
269.3778302217171,3.90625,238.28125,0.4201622990599013
278.07531618382865,39.84375,227.34375,0.4909166900736155
258.10272768558144,39.84375,231.25,0.422772794340698
212.6252436921781,10.9375,184.375,0.4904928197478635
272.4064821083671,143.75,198.4375,0.355848250315424
209.17375358982548,39.84375,185.15625,0.4212227869915147
276.4385967679927,7.03125,232.03125,0.4204818530060248
248.39009575770095,143.75,203.125,0.4112234897756864
227.01383352497612,143.75,189.0625,0.5182567586844326
219.10793714444404,143.75,182.8125,0.3766884082598491
278.57442574116584,143.75,225.78125,0.5775506064327066
235.49068187838336,143.75,197.65625,0.4350484859626251
261.56086702011646,143.75,212.5,0.494929229477039
253.78567428388715,3.90625,217.96875,0.3789776065745451
233.1216376883576,7.03125,212.5,0.5228737083624941
235.1451316776072,7.03125,203.90625,0.4368912130362685
265.0890722359094,143.75,203.90625,0.3901248207726576
236.98211584831267,3.90625,212.5,0.2973158202994817
264.66495382973324,143.75,218.75,0.3665832528949185
262.7947508414791,3.90625,218.75,0.4119755529174322
276.8059099017585,143.75,218.75,0.3835645143196951
292.4302531293192,143.75,227.34375,0.4222072417093742
286.20457202451263,143.75,222.65625,0.2898516403052352
227.0263923117767,7.03125,212.5,0.426553500319339
273.9236279496398,143.75,222.65625,0.5517008046386358
130.53866150338575,109.375,500.0,0.0326974446435292
223.78447228427436,109.375,514.0625,0.2789881349677101
131.62554729975653,109.375,500.0,0.1021769570523435
168.3685649318869,75.0,269.53125,0.5287532583201789
71.9811989190622,109.375,184.375,0.0367711530761111
90.42625045480936,75.0,184.375,0.2637514117026734
45.34155876212363,109.375,327.34375,0.0429459617477956
39.91793554734356,109.375,328.125,0.0332426697972667
46.4405872664352,109.375,314.0625,0.0327134514190099
42.37599582744242,109.375,328.125,0.038184604886812
21.52492249764256,109.375,368.75,0.042040208494613
21.563385438734283,109.375,327.34375,0.0343095994630155
62.23190890111269,217.96875,327.34375,0.1005341582355243
29.846023656405546,217.96875,545.3125,0.0840445994918372
34.27717400922705,109.375,435.9375,0.1277221161886917
28.969160121969026,217.96875,217.96875,0.1181815524519374
13.324850523503695,108.59375,325.0,0.0548917174907885
