RSX_CAGE_0,RSX_CAGE_1,RSX_CAGE_2,RSX_CAGE_3,RSX_CAGE_4,RSX_CAGE_5,RSX_CAGE_6,RSX_CAGE_7,RSX_CAGE_8,RSX_CAGE_9,RSX_CAGE_10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3613982832382249,0.7029602218257757,0.6251769306918333,0.5692099484394458,0.5625515961471402,0.3825741231999301,0.4478214575859149,0.6006382307266678,0.4567272157600426,0.3199714638992648,0.263614127279161
0.4002075637349063,0.4931062668706518,0.5827579093156019,0.5376595410469783,0.5365641865752607,0.3511127802839107,0.5167717627085896,0.550763048555208,0.4309334164868025,0.3423014087916873,0.2581057569382005
0.4077430680065798,0.5930707201894437,0.5944388520330727,0.5023821978946437,0.4814634993093857,0.3517413994682434,0.4824188769569884,0.6108301130099681,0.3381094346421268,0.3369857421740025,0.3188374730725145
0.4040655615387376,0.6136703616371496,0.5972133464037772,0.5690212218782329,0.5387942030179455,0.3559557383205705,0.464927698891709,0.591386414432439,0.3859420051896565,0.3386884698253308,0.2236162324252668
0.4093344088487371,0.5630836928923395,0.6077902905623966,0.4451512092520881,0.5616270011378479,0.3447958831295674,0.4427230464550212,0.5672725464609254,0.3609820744471289,0.3218683516577701,0.2859927181240561
0.4809666652152817,0.6275992398132565,0.5816403471380448,0.3224152594541568,0.473655765997324,0.3954945296594621,0.4491651605796063,0.5348991137012772,0.4082609795784225,0.3624768167092002,0.2466038044365938
0.4729815734962549,0.5981587949724916,0.5812870429907273,0.3537163215124375,0.4989504226883476,0.3220567036136632,0.482223596501567,0.5563090244284857,0.4601960072249969,0.3383251754956176,0.3029758143540974
0.4827009390423757,0.5787081805330667,0.5910508850632858,0.3207840664632236,0.5076829709709296,0.3775738095141723,0.4791986246061406,0.5250419077327805,0.4352232555185968,0.3497329227967169,0.261977790814118
0.4335747893367303,0.6202385682238901,0.5642262615231859,0.2904952047311241,0.5053568204603113,0.3803764081875674,0.3910490523285915,0.478125690944826,0.3827619132943757,0.3706072833899347,0.3307961410652212
0.2910626288242927,0.5243646369172954,0.4306300404653157,0.2043535301353623,0.5189074526371976,0.2851613914608622,0.4592904689688535,0.4210281739063012,0.3979515882220354,0.288629087438351,0.2919807670894204
0.3587498506254243,0.6576611087783589,0.3607742616538784,0.2542638172236198,0.4245564112396388,0.2548399990616584,0.4935590637897195,0.3257202943357333,0.3958211023140012,0.3003680426915882,0.2511242487867885
0.2872484007740568,0.6823938611263735,0.3844479687495236,0.2243927917998218,0.3905696754265486,0.2018237486549998,0.458976124646387,0.4034873154369662,0.3279629037407785,0.2800530574297287,0.2481183064802231
0.305307486413377,0.6927935244760265,0.4386386222512264,0.2288817712786632,0.4280831728859599,0.1551622018205891,0.4690805663671455,0.3585619052445199,0.3710264127767374,0.280641800743355,0.2139513384577304
0.2993431672108477,0.6816996969044329,0.4691748231919917,0.2476368778721119,0.4309090906694016,0.1491595349575635,0.4416896312436431,0.3180073717739,0.360965937894666,0.2877635815634201,0.2195692150239774
