Mode_0,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Mode_8,Mode_9,Mode_10
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.3560790738755555,0.8256810875297508,0.6960235950500616,0.7872052700640161,0.735650866355265,0.7409845650015483,0.7491482863429328,0.7230787629712362,0.7101368984301438,0.751704255218323,0.7053290807610771
0.3574696131424682,0.8189101581030225,0.7105360465498122,0.7727890519220414,0.7193381854560557,0.7700573724966938,0.7371595592792402,0.7696134382479984,0.6841704019090266,0.7166749657989985,0.7163948440637106
0.3182342231467404,0.7485939466510656,0.7718613222428168,0.7770309553583097,0.7083249947347525,0.7328578127252151,0.7264223318226711,0.7558799787255023,0.7113303876959609,0.7485201106514588,0.738064797330035
0.3307637711492455,0.708988851235718,0.7100541145769086,0.7624981037382922,0.6893843080809209,0.7358567109168168,0.7961078893653868,0.7319428869893763,0.6989925630071415,0.6869537585365567,0.7657832381753872
0.3111254233469194,0.7660355399511168,0.7950942428752995,0.7658637939253885,0.7420630343385645,0.7795590574192366,0.7531644590233734,0.6921475354730324,0.7194209611015797,0.736782780994459,0.7740596854898204
0.2490144337980621,0.6511323436258835,0.718007978842643,0.7691113471626934,0.6741473014122813,0.7483765490076654,0.761492790356843,0.725679286044635,0.7715784855815924,0.7141686658191099,0.7574720308440589
0.2749059727455668,0.6599370562512049,0.8174884762473685,0.7699123837825873,0.7168541851546859,0.7896387073202656,0.7654171334824726,0.7006794994959055,0.7288985759776503,0.7435276729382406,0.7589564869124626
0.3351597257069867,0.6999439044932907,0.7408999178422204,0.7636089230631974,0.7046668613588866,0.7451674377369388,0.7634369217633442,0.7571781057870386,0.6749576293514697,0.7403287123395559,0.7156484781061992
0.3073188398342068,0.7082107252424196,0.7007871225089684,0.7294472418706827,0.7079654837407892,0.7542985549964849,0.795487110047345,0.7064396635743587,0.6987891700292567,0.7870274857190327,0.7306340537736647
0.3381094022254917,0.7438244720812225,0.7442089362323385,0.7670415244949589,0.7100813714663208,0.7018755058677425,0.7234326213577272,0.7262590689894858,0.6840335290018472,0.7403376275194404,0.7447044633037495
0.3099988517742923,0.8376085460238568,0.7381753365354934,0.7526163589206473,0.7123071420760894,0.7621511056606401,0.7761046937404207,0.7638088012101792,0.7607956560022987,0.722690557655194,0.7626587478547693
0.2404469184060619,0.8178808553872444,0.7508503156348008,0.7156904198554891,0.7341284799880361,0.7564748257877884,0.7452958883028135,0.7389810759823308,0.6819372778382986,0.7310442566752988,0.7229052567890915
0.2730175902672047,0.6986549767564886,0.741020214106755,0.7285406132092306,0.7589212653396704,0.7665770697971146,0.7507911402169007,0.7316270565709586,0.6692325166656452,0.7207055341036988,0.7294727656335158
0.2919147667910918,0.7190203440464107,0.7819404329180376,0.7622732506364676,0.715797924343132,0.6558896461638659,0.757263083007716,0.756393768619356,0.6947868446839642,0.7403369084165441,0.7043148054937577
0.3071204867219451,0.7238276476307988,0.7925921724487854,0.7664433283526229,0.7283789014040922,0.7012758496098331,0.7475360428749721,0.7059628772654607,0.7116007659004615,0.7521421811789717,0.7125607557501035
0.2620901163697046,0.7263604885758501,0.7251161820088563,0.7984014302873168,0.7111327875357112,0.6947668929135743,0.7518973508272665,0.7184256294941852,0.6914308493046813,0.7237091320455045,0.7325100940977914
0.2480522874412354,0.7025713762623484,0.7060894243661684,0.7919024980228335,0.7177268245388677,0.7032112496705399,0.7582369039531595,0.7458743532812033,0.7043858172276768,0.7089986089249432,0.7447636004967826
0.2616880207544219,0.7397110574527868,0.6954518371903567,0.7161628653139279,0.6977172613462892,0.7338994735815572,0.7641490840624932,0.692968043650306,0.716184173570676,0.7084491841578208,0.7449913259558179
0.2928153332648924,0.7673986552333517,0.7166389585737127,0.7435718781379344,0.7199709244005528,0.6836262689959439,0.7545388704995217,0.7162584840976252,0.670997508718201,0.685011428999965,0.7396487666111089
0.2807119810298175,0.7042272983571587,0.7347428539807177,0.781824349901481,0.7230682479040558,0.7019502370764663,0.697722009013388,0.7305680600468396,0.6873539427831121,0.7074137594225709,0.719753781196074
0.3139833139178213,0.7318060512035625,0.7424273264074887,0.7414307002930469,0.6764453123211364,0.6950918207488782,0.713176400414921,0.6821911222855865,0.698945815619476,0.7267904605664609,0.6913601230689747
0.2623431371714154,0.6646831502023708,0.7001720361649658,0.7323201356996089,0.6967020745212562,0.6584156854265854,0.727001200393601,0.6906512503164483,0.7131871914812953,0.6830708518860691,0.706260302008726
0.2703245582967586,0.6449783851981404,0.7419967243137132,0.7520579580450095,0.718604546231162,0.7000227307211737,0.7720498465155682,0.7181345911055744,0.6604178649458913,0.6990118324726373,0.6621114064549327
0.2413920804894044,0.6810927387432812,0.7183306870803957,0.6696765613180665,0.6922551155801765,0.7342402298994195,0.7452540791700489,0.7510812917302843,0.6530353747918368,0.7172257356861687,0.6885867012543905
0.2464216593852493,0.6696865956791488,0.7250708550302176,0.7037067681316505,0.7068341385368182,0.725973019762545,0.750593562004623,0.7357780795834077,0.6783546023186438,0.7163111622163872,0.7221841099905976
0.2488130662000296,0.6863985661646606,0.7412385621508812,0.7211205770008554,0.7290142967662533,0.7278480703578474,0.7406458355289431,0.7443120836468923,0.6933896750943616,0.731747239524185,0.7307501319852692
0.2920212852023884,0.7098614630913507,0.7347818288490002,0.7309428093734118,0.7361538079308927,0.7289686593068296,0.7425186268645407,0.7357870822901654,0.679266431467842,0.7193942256769003,0.7184764276278068
0.2478782382948716,0.7237820375986471,0.7836054243039096,0.7649619081812845,0.6962833381857826,0.7018257580410903,0.7289660854696306,0.7265608456875693,0.699183423998329,0.6727724118173473,0.7474446401046368
0.2679390564267745,0.6522861717052897,0.7592881263158422,0.7424055894637358,0.7094290315239311,0.7533115715171985,0.7317106598074012,0.7312153539170032,0.6606470629932363,0.6817369163996241,0.7503476480749625
