PC1,PC2,PC3
1.0,0.832508253052296,1.0
0.9999610589075095,0.8324798871634052,0.9996580754571486
0.9998450879230465,0.8323968067172113,0.9986209876076904
0.999615640584844,0.8322323194633786,0.9965659837762813
0.9992370513523984,0.831959680359312,0.9931866837450881
0.9986838529166782,0.8315658852108943,0.9883668440152785
0.9979515844455032,0.8310427618777129,0.9819625481814156
0.9970438615151226,0.8303924601508779,0.973991307760606
0.9959653830148214,0.8296164644886561,0.9645071487135018
0.9947296026092466,0.8287269257335268,0.953788324584554
0.9933503608574914,0.8277389394013279,0.942096279948135
0.991841310198065,0.8266699730359561,0.9296298350143104
0.9902170082247015,0.8255384646089111,0.9165814357866311
0.9884787773697842,0.824343617719733,0.9029390414256377
0.986639979260374,0.8231034796328963,0.8889010643708815
0.9847037326279849,0.8218218565870448,0.87445131542282
0.9826844147014283,0.8205196156487464,0.8597851536681755
0.9805843596654544,0.8191950535215042,0.844958837451419
0.978404414782225,0.8178461595602512,0.8300119061118381
0.9761483202064868,0.8164805307021509,0.8148978626436554
0.973819335084326,0.8151005877846778,0.7996271567497896
0.9714208552533115,0.8137085393924302,0.7842012568790033
0.9689534337594482,0.812299242275041,0.7686669770753741
0.9664307716909297,0.8108913417605708,0.7532227760741432
0.9638552447409309,0.809488421080696,0.7378359587889012
0.9612300939622149,0.8080953479988287,0.7224878163440861
0.9585542866040414,0.8067026302664575,0.7072074723600844
0.9558418307703488,0.8053336136129053,0.692126124424123
0.9531070654796352,0.8040101995531167,0.677372827570448
0.9503503749358369,0.8027285424181473,0.6629669333803522
0.9475732733610716,0.801490437621404,0.6488873929032193
0.944777171595898,0.800298077360512,0.635109604577293
0.9419638584846174,0.799154807164971,0.621586066605469
0.9391342314938278,0.7980607981543578,0.6083118858640721
0.9362879719393788,0.7970105082196512,0.5953170120231934
0.9334264074384234,0.7960058039321846,0.5825748981249323
0.9305406284817078,0.7950322216206872,0.5699367650195034
0.927631112251885,0.7940861355264495,0.5574140411447761
0.9246976783996627,0.7931626285348056,0.5450518000222149
0.9217424386592743,0.7922633523619681,0.5328612817907821
