Média,Média Absoluta,Variância,Desvio Padrão,Kurtose,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Taxa de cruzamento por zero,Fator de Forma,Energia,Energia Média,Variância da Energia,Desvio Padrão da Energia,Assimetria da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Frequência de Pico,Centroide Espectral,Largura de Banda Espectral,Planicidade Espectral,Corte Espectral
-5.285485590866836e-19,0.1079547265902213,0.0384940463194309,0.1348534665663299,-0.0467366016270521,1.5245615255559597,0.1348534665663299,0.4777424190276509,0.9992607328449424,1.7372902078955197,682.0,0.623600291873001,0.0324364506373925,1.6902788242518263e-05,1.0863444256779233e-08,6.64113905537536e-05,5.342014402095941,78.97485930152914,0.4956768710527962,6.853572081640867e-05,21.171875,93.538948215378,93.80973248327416,0.5,183.75
-5.28480254349817e-19,0.1079570454307691,0.0384945995313466,0.1348563472222856,-0.0467394945535271,1.5246080090715235,0.1348563472222856,0.4777524024403356,0.9992804005507318,1.7373421929963335,682.011865,0.6236189261164714,0.0324368917016189,1.69030180831782e-05,1.0863496600344948e-08,6.64122766426237e-05,5.342175005936954,78.97718869936531,0.4956918117454902,6.853663622900125e-05,21.17502734375,93.54218890397972,93.81235260405091,0.500015,183.75533203125
-5.282949370934849e-19,0.1079641079254195,0.0384963275243697,0.1348651237483283,-0.0467482064107585,1.524747431049298,0.1348651237483283,0.4777820505233143,0.9993386947166848,1.7374931147918675,682.0478233749999,0.6236743805701763,0.0324382694584934,1.6903736038818907e-05,1.0863653470993689e-08,6.641492242569685e-05,5.342631104458554,78.98363897485757,0.4957362777011787,6.853937802557119e-05,21.18624541015625,93.55179158550668,93.82010039268884,0.500059625,183.77105419921872
-5.279435011721052e-19,0.1079781960769172,0.0384997948212439,0.1348826332157385,-0.0467654014774137,1.52502456413334,0.1348826332157385,0.4778405572262008,0.9994541791901208,1.7377891724086574,682.1190910108749,0.6237843802406804,0.0324410553860405,1.6905187798874723e-05,1.0863992188865434e-08,6.642037881995447e-05,5.343581390119631,78.9979711476495,0.4958244798280557,6.85450254175428e-05,21.20961614580078,93.57065825627994,93.8353732564971,0.500148132125,183.8019450131836
-5.274382588661861e-19,0.1080015264556195,0.0385055423187776,0.1349116173320104,-0.0467947376158412,1.5254830542728357,0.1349116173320104,0.4779369881785668,0.9996447392326904,1.7382763115366515,682.2362697823468,0.6239661136390224,0.0324456706348833,1.6907592826932434e-05,1.0864544776297674e-08,6.64293160281021e-05,5.345117400486471,79.0210219476336,0.4959702541725767,6.855428348288886e-05,21.25037701999268,93.60171370076688,93.86063467874251,0.500294417628125,183.8531307111694
-5.268026236898341e-19,0.1080362283230723,0.0385140902280008,0.1349547304187139,-0.0468375206404866,1.5261647415755344,0.1349547304187139,0.4780803900017188,0.9999287312320818,1.7390006828840694,682.4100662208803,0.6242364623562084,0.0324525493407133,1.6911177353159683e-05,1.0865362029462204e-08,6.64425643103353e-05,5.347381775351948,79.05500541875178,0.4961870631629957,6.856801270930103e-05,21.3091913361579,93.64776836522384,93.8981880529655,0.5005120237738531,183.9293141312036
-5.261493001453053e-19,0.1080804390582965,0.0385243690568629,0.1350096521704022,-0.0468907755618573,1.5270646186690502,0.1350096521704022,0.4782610707194225,1.0002866936186432,1.7399517554938513,682.624707307983,0.6245932745578024,0.0324607878175218,1.691547046249185e-05,1.08660069962109e-08,6.645824750308155e-05,5.350344661889919,79.09913165041047,0.4964732785087473,6.858427869132932e-05,21.386562581616,93.7091754789318,93.94731222925104,0.5007991456032937,184.02976890238028
-5.254706942707873e-19,0.1081340522576963,0.0385363971722892,0.1350762410934399,-0.0469549384015661,1.5281755923711606,0.1350762410934399,0.4784797724627673,1.0007200000360923,1.74112978383589,682.8798208579751,0.6250342874051521,0.03247041922942,1.6920489436904664e-05,1.0866495532059592e-08,6.647640088679836e-05,5.353972578021918,79.15275584358747,0.4968272597756977,6.860311995954037e-05,21.485205510987218,93.78542073950004,94.00765347559872,0.5011540125834324,184.15368931340788
-5.248033147947529e-19,0.1081964431549924,0.0385498559833377,0.1351537585125087,-0.0470270047260291,1.5294914231715675,0.1351537585125087,0.4787337801573779,1.0012255252726523,1.7425282663018933,683.1735378631212,0.6255575064300406,0.0324812475162583,1.6926132108524444e-05,1.0866755074083193e-08,6.649671698032049e-05,5.358257262446199,79.21587119819472,0.4972471680921095,6.862421295806165e-05,21.604330632736914,93.8760276312165,94.07891019865885,0.501574888017227,184.3003095925744
-5.2407217289822e-19,0.1082659594423129,0.0385637465838062,0.1352400828551961,-0.0471111236244467,1.53100852680352,0.1352400828551961,0.4790149240076378,1.0017842952157414,1.7441395607329655,683.4905899700099,0.6261605520522034,0.0324923354836465,1.693191010091018e-05,1.0866228623614838e-08,6.651710280963572e-05,5.363226883045367,79.2901461476617,0.4977313090097622,6.864540843024066e-05,21.747184533116226,93.98156455077128,94.1605393280707,0.5020600684632893,184.4692897488648
