Média,Média Absoluta,Variância,Desvio Padrão,Assimetria,Kurtose,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Taxa de cruzamento por zero,Fator de Forma,Energia,Energia Média,Desvio Padrão da Energia,Assimetria da Energia,Entropia da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Frequência de Pico,Centroide Espectral,Largura de Banda Espectral,Planicidade Espectral,Corte Espectral,Razão Pico para RMS
1.463672932855431e-18,0.1030375620759549,0.0332406895804836,0.1288280051025977,0.0073996962078632,-0.0487274790129206,1.563029467691727,0.1288280051025977,0.4239822410305371,0.8596656665467594,1.6455042042383892,487.0,0.6251899557841405,0.0284470156166756,1.4823874735109762e-05,5.855359451543e-05,4.897325901078672,0.2841234313283766,67.71182071450023,0.49746390069684,6.040601567811e-05,38.4375,90.52741802475995,87.12925723223296,0.5,172.96875,198.4847133006501
1.4635721020533898e-18,0.1030407137184688,0.0332417238030351,0.1288319438001328,0.0073997416093316,-0.0487294105314327,1.5630751472972149,0.1288319438001328,0.4239970465772029,0.859694289910713,1.6455605891722431,487.01494,0.6252087017119432,0.0284478903887616,1.4824330582991998e-05,5.855538859248082e-05,4.897472028573549,0.2841318133781787,67.71380386323843,0.4974788666823069,6.040786676151061e-05,38.43788671875,90.5301573143578,87.13190975310813,0.500015,172.97395312499998,198.4906201415505
1.463418497710603e-18,0.1030499257043691,0.0332446974585148,0.1288434598374908,0.0073997269366697,-0.048734439596082,1.5632116774994875,0.1288434598374908,0.4240397576085699,0.8597767688512578,1.6457260155707538,487.0593865,0.6252644887008493,0.0284504090587064,1.4825643073843912e-05,5.856046053077056e-05,4.897895912232583,0.2841575623918419,67.71942842465879,0.4975233574657072,6.041310588526674e-05,38.44320908203125,90.538436859791,87.13981143599062,0.500059625,172.98956132812498,198.50855735685468
1.4631971912576224e-18,0.1030682775142325,0.0332506467714636,0.1288663971688623,0.0073994786064467,-0.0487438316064829,1.563483048050074,0.1288663971688623,0.4241242501848692,0.8599398439446857,1.6460519482302192,487.1471045965,0.6253751130836142,0.0284554448354213,1.4828267240969946e-05,5.857050061767168e-05,4.898703158577339,0.2842102013131222,67.72970976056851,0.4976116020872272,6.042348350964898e-05,38.45353114072266,90.5546823957739,87.15538976741091,0.500148132125,173.0202824519531,198.54346520101225
1.4628741196161617e-18,0.1030985725769285,0.0332604524027758,0.12890425436012,0.0073991022406296,-0.0487581529051173,1.5639315022434122,0.12890425436012,0.4242623826692266,0.860209099892084,1.6465854982657064,487.2914508326125,0.6255579168401436,0.0284637479838683,1.4832594050999674e-05,5.858683045453312e-05,4.8999868535217495,0.2843012548960373,67.74543577741314,0.4977574580534607,6.044037779828133e-05,38.46952397908448,90.58147506205144,87.18105584945175,0.500294417628125,173.07092773848632,198.60016192897456
1.4624583653249357e-18,0.1031437623085351,0.033275108131643,0.1289607004893646,0.0073981387872034,-0.0487778123273828,1.5645980004987776,0.1289607004893646,0.4244680917519858,0.8606117922747184,1.6473781201033495,487.5057563471327,0.6258297347143651,0.0284761442005207,1.483905377828074e-05,5.861117393113891e-05,4.901875975015824,0.2844388179864739,67.7682666268448,0.4979744233116934,6.04655654842713e-05,38.49143099806614,90.62119481409763,87.21917576718575,0.5005120237738531,173.14604525673838,198.68346006697053
1.4618839891740691e-18,0.1032031429661111,0.0332942816500336,0.1290348324729589,0.0073963038488699,-0.0488015422012231,1.5654748903406002,0.1290348324729589,0.4247400694122026,0.8611454964897,1.6484312954149467,487.788235506165,0.6261881865261706,0.0284923436688879,1.4847495398065637e-05,5.864313573926721e-05,4.904404570918049,0.2846193266386251,67.79962661199144,0.4982607661689309,6.0498626004741855e-05,38.5230160067264,90.6739219604287,87.26958926984575,0.5007991456032937,173.2454726353734,198.7940722541372
1.4610997247623989e-18,0.1032773295908454,0.0333185153609177,0.1291273454332238,0.0073931802455754,-0.0488344541329471,1.5665577855075865,0.1291273454332238,0.4250796147166583,0.8618126580473788,1.6497356548318007,488.1371518227694,0.6266307444179436,0.0285126442074261,1.4858074104964113e-05,5.868526511851642e-05,4.907720607636647,0.2848364415846596,67.8453177500424,0.4986145566140162,6.054209319856635e-05,38.55986189427044,90.7388267856938,87.33175572058683,0.5011540125834324,173.36843851650403,198.93011907059437
1.4601840890995108e-18,0.1033658656499838,0.0333476476469233,0.129237705845304,0.0073874674203756,-0.0488730688451761,1.5678403393095892,0.129237705845304,0.4254849682477964,0.8626114363078623,1.6512854640666057,488.5509069961328,0.6271554169046755,0.0285369475398764,1.4870738686751685e-05,5.873710356701234e-05,4.911750489440817,0.2850923259041028,67.90359069460858,0.499034089928303,6.059551034827028e-05,38.60241833847488,90.81559412571822,87.40541659231805,0.501574888017227,173.51433952346108,199.09020015190663
1.4590786845825157e-18,0.1034689240051414,0.0333819237904504,0.1293661369238652,0.0073784499446841,-0.0489164850309954,1.569315066583733,0.1293661369238652,0.4259581880205026,0.8635475517626354,1.6530797749448969,489.0276327173887,0.6277601125167781,0.0285654495961255,1.488559124342135e-05,5.879952673723894e-05,4.916547826181873,0.2853835168182428,67.97677917898648,0.4995176466510464,6.065975338757422e-05,38.65061907979005,90.90338442100048,87.49001736811691,0.5020600684632893,173.6820213332167,199.2728818701864
