Média Absoluta,Variância,Desvio Padrão,Assimetria,Entropia,RMS,Máximo,Pico-a-pico,Fator de Cresta,Taxa de cruzamento por zero,Fator de Forma,Energia,Energia Média,Variância da Energia,Desvio Padrão da Energia,Assimetria da Energia,Kurtose da Energia,Densidade da Energia,RMS da Energia,Planicidade Espectral
0.0845311104616815,0.0223181385546393,0.1055442407131881,-0.0212528608015184,1.5678999715788249,0.1055442407131881,0.342885038807684,0.6926295693382605,1.622712136091425,381.4,0.6242892155894522,0.0185343285648015,9.658326505889284e-06,3.9959876830552e-09,4.438754311087125e-05,7.606725292480275,164.97491963587677,0.4970930091044259,4.542935261748921e-05,0.5
0.0845341365602998,0.0223191045470351,0.105548047271468,-0.0212511728231645,1.5679445425274976,0.105548047271468,0.3429005887509228,0.6926595518579016,1.622773411693013,381.41314,0.6243080842323486,0.0185351640552131,9.658761883904749e-06,3.996201095392898e-09,4.438933229645846e-05,7.6068652062509825,164.97653699759627,0.4971079279366142,4.5431194013449294e-05,0.500015
0.0845426210584637,0.0223216820385103,0.1055587345847948,-0.0212465169920366,1.5680798845745385,0.1055587345847948,0.34294266345425,0.6927391226136745,1.622948212666334,381.4497865,0.6243643056610565,0.0185374082624501,9.659931350938098e-06,3.9968187708097874e-09,4.4394581394419054e-05,7.607418201876058,164.98669234263053,0.4971522105198934,4.543657394002429e-05,0.500059625
0.0845589204572844,0.0223264875456874,0.1055792692088896,-0.0212374321602059,1.5683489402644315,0.1055792692088896,0.343023991642174,0.6928905992746958,1.6232976940185044,381.5200448665,0.6244758278410879,0.0185416115017868,9.6621216788884e-06,3.998021607972113e-09,4.440489643472198e-05,7.608654227590958,165.0119463734936,0.497240047912769,4.544712374477652e-05,0.500148132125
0.0845854979305014,0.0223342091799903,0.1056127444619853,-0.0212205482106308,1.5687944077658018,0.1056127444619853,0.343156500325443,0.6931356629356461,1.6238754433191562,381.6346793058625,0.6246601019156363,0.018548360126423,9.665638419188664e-06,3.999944427598784e-09,4.442164769176571e-05,7.610749145817353,165.05525834674052,0.4973852397097733,4.546424727783205e-05,0.500294417628125
0.0846247255993646,0.0223454957656524,0.105662125666079,-0.0211923053220366,1.5694576473748203,0.105662125666079,0.343352372571001,0.6934955273491336,1.624737100815007,381.80365487751095,0.6249340567255742,0.0185582068815756,9.670769609992548e-06,4.0027816292036705e-09,4.444645840392283e-05,7.614028718964718,165.12698212775442,0.4976011922050164,4.548959302033988e-05,0.5005120237738531
0.0846762834148261,0.0223602579467138,0.1057270123027416,-0.0211492784498943,1.570331485953314,0.1057270123027416,0.3436121430592292,0.6939699379861374,1.6258853861050746,382.0247858579723,0.6252954336796429,0.0185710869233759,9.67748146085254e-06,4.006525592661464e-09,4.447920764497073e-05,7.618406384271809,165.2236426931043,0.4978862336971385,4.552303556469898e-05,0.5007991456032937
0.0847399141984396,0.0223784409748074,0.1058070925137429,-0.021086944666394,1.5714097565475829,0.1058070925137429,0.3439366678455074,0.6945576421499335,1.6273237690486082,382.29642801569054,0.6257420803008741,0.0185869740295472,9.685760307215882e-06,4.01126257373599e-09,4.452029224245656e-05,7.62409208746857,165.35663234965068,0.4982385454284675,4.556496167615567e-05,0.5011540125834324
0.0848153818924227,0.0223999935576463,0.1059020660555506,-0.0209992272044018,1.5726879802967064,0.1059020660555506,0.3443265228970696,0.6952551021443879,1.629054290894688,382.6170604015871,0.6262717958941498,0.0186058015603362,9.69557142279118e-06,4.017008524776655e-09,4.456971415378219e-05,7.631183084641144,165.5313903265896,0.4986563387120427,4.561536666281111e-05,0.501574888017227
0.0849021687562753,0.022424717889205,0.1060112807206037,-0.0208828208135988,1.5741608196211612,0.1060112807206037,0.3447795417348613,0.6960578236165491,1.631072009760835,382.9821325136338,0.6268824304290906,0.0186274100676501,9.706831718421148e-06,4.023908616142224e-09,4.4628011500936434e-05,7.639936016096353,165.76224815581418,0.4991380247066836,4.567476642832424e-05,0.5020600684632893
