RSX,RSY
1.0000000000000002,0.999999999999999
0.7884790637729802,0.7999988509331657
0.7331857700550106,0.7776453965678118
0.7627112099978381,0.7695531152601204
0.7513802375284496,0.7862555481212591
0.7091551259198511,0.7768490959632837
0.7685713348400075,0.8065091055630489
0.7053423335080663,0.7616580410527609
0.6847575676963659,0.776049740950276
0.7134026386276621,0.7713454254170399
0.7084705882592841,0.7604934814879581
0.7290949896598561,0.7639145891831584
0.7083620565838514,0.773555496083705
0.6672304669569153,0.7507915732071544
0.6866494846246705,0.718492007676561
0.7021354664474206,0.7609571985502925
0.7216098205867766,0.76083018756133
0.7317010775990739,0.732810422988827
0.705037098874904,0.7557035940606112
0.7106949067791134,0.7292989637270071
0.7016592742650664,0.7434425207673956
0.7284094825350166,0.7345070075884244
0.7344624382586137,0.7321114215715205
0.6920469463087805,0.7574836949106208
0.719562973143582,0.7327675924682069
0.7322084735374366,0.7120529530249096
0.7209224225291967,0.7135332984200463
0.7246534825312676,0.7275975086183919
0.6853538723748867,0.6950777035728241
0.7349051482591513,0.7417235204947161
0.7377238375975981,0.7392334462581774
0.7112775671215968,0.6950829513744643
0.7125596697917572,0.725957478365315
0.7175266777880008,0.7262000843248905
0.5802858580566044,0.728909303486441
0.5832699778143114,0.4648093280980017
0.4900954936091342,0.5671074960734328
0.4930921044471484,0.5059806329943309
0.463759973562273,0.71556128069471
0.2810945257855171,0.3849033714512084
0.3016516661920271,0.5165838093842203
0.2679615378029548,0.4193632224764631
0.2783313553667611,0.4034470131323591
0.3402208637440208,0.4396017254273319
0.4286337601674098,0.4281937038516699
0.474781016766458,0.3234545754243006
0.4845261873161763,0.3336287703199561
0.5098075142542741,0.483435385440934
0.4111098381801098,0.346129177875053
0.3821198461666555,0.5220693491166197
0.3752719568752833,0.5156953528969158
0.3835436116196022,0.4291484346350228
